,gp,fgm,fga,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,target_5yrs,points_per_minute,total_contribution
0,36,2.6,7.6,34.7,0.5,2.1,25.0,1.6,2.3,69.9,0.7,3.4,0,0.27007299270072993,12.9
1,35,2.0,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,0,0.2676579925650558,13.3
2,74,2.0,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67.0,0.5,1.7,0,0.33986928104575165,8.200000000000001
3,58,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1,0.4913793103448276,8.1
4,48,1.6,3.0,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,1,0.391304347826087,7.2
5,75,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0,0.32456140350877194,6.0
6,62,2.5,5.8,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,1,0.6055045871559632,8.799999999999999
7,48,2.3,5.4,41.5,0.4,1.5,30.0,0.7,0.8,87.5,0.8,0.9,1,0.5533980582524272,7.2
8,65,1.0,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0,0.2424242424242424,4.699999999999999
9,42,1.4,3.5,38.3,0.1,0.3,21.4,1.0,1.4,67.8,0.4,0.7,0,0.43529411764705883,4.6000000000000005
10,35,0.9,2.4,36.5,0.0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0,0.3333333333333333,3.8
11,40,1.2,3.0,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1,0.5373134328358209,5.0
12,27,0.6,1.3,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,1,0.196969696969697,4.0
13,45,1.9,6.0,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,0,0.3660130718954248,8.4
14,44,1.0,1.9,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1,0.37499999999999994,4.000000000000001
15,40,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1.0,68.4,0.1,0.3,1,0.42622950819672134,3.9000000000000004
16,49,0.7,1.9,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,0,0.39622641509433965,3.5
17,41,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0,0.4047619047619047,2.9
18,82,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,0,0.5161290322580645,33.5
19,82,7.5,15.3,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,1,0.5161290322580645,33.5
20,80,5.9,11.1,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,1,0.45541401273885357,24.400000000000002
21,82,5.4,11.0,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,1,0.4360655737704918,20.5
22,76,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,1,0.3498349834983498,15.899999999999999
23,61,4.9,10.7,45.4,0.7,2.0,32.0,1.6,2.1,74.8,1.3,1.8,0,0.4054054054054054,18.5
24,32,2.8,5.2,53.3,0.0,0.1,0.0,0.8,1.3,62.5,1.7,3.5,0,0.4144736842105263,11.9
25,76,4.0,7.8,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,1,0.35494880546075086,17.700000000000003
